Design Name,Backend Phase,Corner1,Power1,Corner2,Power2,Corner3,Power3
VexiiRiscv_910,floorplan,Fast,68672000.0,Slow,45912000.0,Typical,56657000.0
VexiiRiscv_885,cts,Fast,707230.0,Slow,368110.0,Typical,487110.0
VexiiRiscv_885,placement,Fast,68547000.0,Slow,46618000.0,Typical,56579000.0
VexiiRiscv_885,chipfinish,Fast,708420.0,Slow,372490.0,Typical,492240.0
VexiiRiscv_885,route,Fast,708280.0,Slow,372430.0,Typical,492150.0
VexiiRiscv_885,floorplan,Fast,68537000.0,Slow,45839000.0,Typical,56570000.0
VexiiRiscv_451,cts,Fast,37484000.0,Slow,12581000.0,Typical,23608000.0
VexiiRiscv_451,placement,Fast,96604000.0,Slow,64560000.0,Typical,71465000.0
VexiiRiscv_451,chipfinish,Fast,43186000.0,Slow,14222000.0,Typical,27126000.0
VexiiRiscv_451,route,Fast,43176000.0,Slow,14220000.0,Typical,27121000.0
VexiiRiscv_451,floorplan,Fast,5060300000.0,Slow,162190000.0,Typical,1328800000.0
VexiiRiscv_129,cts,Fast,2601600.0,Slow,1226300.0,Typical,1695100.0
VexiiRiscv_129,placement,Fast,70111000.0,Slow,47351000.0,Typical,57567000.0
VexiiRiscv_129,chipfinish,Fast,2599100.0,Slow,1244100.0,Typical,1714200.0
VexiiRiscv_129,route,Fast,2598500.0,Slow,1244000.0,Typical,1713900.0
VexiiRiscv_129,floorplan,Fast,70544000.0,Slow,46511000.0,Typical,57615000.0
VexiiRiscv_855,cts,Fast,2619800.0,Slow,1335300.0,Typical,1850600.0
VexiiRiscv_855,placement,Fast,70391000.0,Slow,47614000.0,Typical,57668000.0
VexiiRiscv_855,chipfinish,Fast,2745600.0,Slow,1391000.0,Typical,1943300.0
VexiiRiscv_855,route,Fast,2745200.0,Slow,1390800.0,Typical,1943100.0
VexiiRiscv_855,floorplan,Fast,70377000.0,Slow,46497000.0,Typical,57635000.0
VexiiRiscv_929,cts,Fast,13957000.0,Slow,5955500.0,Typical,9236900.0
