File Path,Corner1,Power1,Corner2,Power2,Corner3,Power3
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_302_100/VexiiRiscv_302_100_build/rpt/floorplan.report_power,Fast,6.9183e+07,Slow,4.6040e+07,Typical,5.6890e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_115_100/VexiiRiscv_115_100_build/rpt/cts.report_power,Fast,1.5772e+06,Slow,8.4607e+05,Typical,1.1167e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_115_100/VexiiRiscv_115_100_build/rpt/placement.report_power,Fast,6.9361e+07,Slow,4.7005e+07,Typical,5.7090e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_115_100/VexiiRiscv_115_100_build/rpt/chipfinish.report_power,Fast,1.5873e+06,Slow,8.5866e+05,Typical,1.1328e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_115_100/VexiiRiscv_115_100_build/rpt/route.report_power,Fast,1.5871e+06,Slow,8.5856e+05,Typical,1.1326e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_115_100/VexiiRiscv_115_100_build/rpt/floorplan.report_power,Fast,6.9348e+07,Slow,4.6209e+07,Typical,5.7075e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_202_100/VexiiRiscv_202_100_build/rpt/cts.report_power,Fast,3.6833e+06,Slow,1.5752e+06,Typical,2.4288e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_202_100/VexiiRiscv_202_100_build/rpt/placement.report_power,Fast,7.1272e+07,Slow,4.8205e+07,Typical,5.8093e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_202_100/VexiiRiscv_202_100_build/rpt/chipfinish.report_power,Fast,3.9450e+06,Slow,1.6953e+06,Typical,2.6356e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_202_100/VexiiRiscv_202_100_build/rpt/route.report_power,Fast,3.9440e+06,Slow,1.6950e+06,Typical,2.6351e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_202_100/VexiiRiscv_202_100_build/rpt/floorplan.report_power,Fast,4.7662e+08,Slow,1.1463e+08,Typical,2.1290e+08
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_921_100/VexiiRiscv_921_100_build/rpt/cts.report_power,Fast,2.6106e+06,Slow,1.0765e+06,Typical,1.6995e+06
